,price info
equity,A
equity,AAPL
equity,ABC
equity,ABT
equity,ACGL
equity,ADBE
equity,ADI
equity,ADM
equity,ADP
equity,ADSK
equity,AEE
equity,AEP
equity,AES
equity,AFL
equity,AIG
equity,AJG
equity,AKAM
equity,ALB
equity,ALK
equity,ALL
equity,AMAT
equity,AMD
equity,AME
equity,AMGN
equity,AMT
equity,AMZN
equity,ANSS
equity,AON
equity,AOS
equity,APA
equity,APD
equity,APH
equity,ARE
equity,ATO
equity,ATVI
equity,AVB
equity,AVY
equity,AXP
equity,AZO
equity,BA
equity,BAC
equity,BALL
equity,BAX
equity,BBWI
equity,BBY
equity,BDX
equity,BEN
equity,BIIB
equity,BIO
equity,BK
equity,BKNG
equity,BKR
equity,BLK
equity,BMY
equity,BRO
equity,BSX
equity,BWA
equity,BXP
equity,C
equity,CAG
equity,CAH
equity,CAT
equity,CB
equity,CCI
equity,CCL
equity,CDNS
equity,CHD
equity,CHRW
equity,CI
equity,CINF
equity,CL
equity,CLX
equity,CMA
equity,CMCSA
equity,CMI
equity,CMS
equity,CNP
equity,COF
equity,COO
equity,COP
equity,COST
equity,CPB
equity,CPRT
equity,CPT
equity,CSCO
equity,CSGP
equity,CSX
equity,CTAS
equity,CTRA
equity,CTSH
equity,CVS
equity,CVX
equity,D
equity,DD
equity,DE
equity,DGX
equity,DHI
equity,DHR
equity,DIS
equity,DISH
equity,DLTR
equity,DOV
equity,DRI
equity,DTE
equity,DUK
equity,DVA
equity,DVN
equity,DXC
equity,EA
equity,EBAY
equity,ECL
equity,ED
equity,EFX
equity,EIX
equity,EL
equity,EMN
equity,EMR
equity,EOG
equity,EQR
equity,EQT
equity,ES
equity,ESS
equity,ETN
equity,ETR
equity,EVRG
equity,EXC
equity,EXPD
equity,F
equity,FAST
equity,FCX
equity,FDS
equity,FDX
equity,FE
equity,FFIV
equity,FISV
equity,FITB
equity,FMC
equity,FRT
equity,GD
equity,GE
equity,GEN
equity,GILD
equity,GIS
equity,GL
equity,GLW
equity,GPC
equity,GS
equity,GWW
equity,HAL
equity,HAS
equity,HBAN
equity,HD
equity,HES
equity,HIG
equity,HOLX
equity,HON
equity,HPQ
equity,HRL
equity,HSIC
equity,HST
equity,HSY
equity,HUM
equity,IBM
equity,IDXX
equity,IEX
equity,IFF
equity,INCY
equity,INTC
equity,INTU
equity,IP
equity,IPG
equity,IRM
equity,IT
equity,ITW
equity,IVZ
equity,J
equity,JBHT
equity,JCI
equity,JKHY
equity,JNJ
equity,JNPR
equity,JPM
equity,K
equity,KEY
equity,KIM
equity,KLAC
equity,KMB
equity,KMX
equity,KO
equity,KR
equity,L
equity,LEN
equity,LH
equity,LHX
equity,LIN
equity,LLY
equity,LMT
equity,LNC
equity,LNT
equity,LOW
equity,LRCX
equity,LUMN
equity,LUV
equity,MAA
equity,MAR
equity,MAS
equity,MCD
equity,MCHP
equity,MCK
equity,MCO
equity,MDT
equity,MGM
equity,MHK
equity,MKC
equity,MLM
equity,MMC
equity,MMM
equity,MNST
equity,MO
equity,MOS
equity,MRK
equity,MRO
equity,MS
equity,MSFT
equity,MSI
equity,MTB
equity,MTCH
equity,MTD
equity,MU
equity,NDSN
equity,NEE
equity,NEM
equity,NI
equity,NKE
equity,NOC
equity,NSC
equity,NTAP
equity,NTRS
equity,NUE
equity,NVDA
equity,NVR
equity,NWL
equity,O
equity,ODFL
equity,OKE
equity,OMC
equity,ORCL
equity,ORLY
equity,OXY
equity,PAYX
equity,PCAR
equity,PCG
equity,PEAK
equity,PEG
equity,PEP
equity,PFE
equity,PG
equity,PGR
equity,PH
equity,PHM
equity,PKI
equity,PLD
equity,PNC
equity,PNR
equity,PNW
equity,POOL
equity,PPG
equity,PPL
equity,PSA
equity,PTC
equity,PWR
equity,PXD
equity,QCOM
equity,RCL
equity,RE
equity,REG
equity,REGN
equity,RF
equity,RHI
equity,RJF
equity,RL
equity,RMD
equity,ROK
equity,ROL
equity,ROP
equity,ROST
equity,RSG
equity,RTX
equity,SBAC
equity,SBUX
equity,SCHW
equity,SEE
equity,SHW
equity,SIVB
equity,SJM
equity,SLB
equity,SNA
equity,SNPS
equity,SO
equity,SPG
equity,SPGI
equity,SRE
equity,STE
equity,STLD
equity,STT
equity,STZ
equity,SWK
equity,SWKS
equity,SYK
equity,SYY
equity,T
equity,TAP
equity,TDY
equity,TECH
equity,TER
equity,TFC
equity,TFX
equity,TGT
equity,TJX
equity,TMO
equity,TRMB
equity,TROW
equity,TRV
equity,TSCO
equity,TSN
equity,TT
equity,TTWO
equity,TXN
equity,TXT
equity,TYL
equity,UDR
equity,UHS
equity,UNH
equity,UNP
equity,UPS
equity,URI
equity,USB
equity,VFC
equity,VLO
equity,VMC
equity,VRSN
equity,VRTX
equity,VTR
equity,VTRS
equity,VZ
equity,WAB
equity,WAT
equity,WBA
equity,WDC
equity,WEC
equity,WELL
equity,WFC
equity,WHR
equity,WM
equity,WMB
equity,WMT
equity,WRB
equity,WST
equity,WY
equity,XEL
equity,XOM
equity,XRAY
equity,YUM
equity,ZBRA
equity,ZION
sp500 index,S&P 500
commodity,CL
commodity,HO
commodity,XB
commodity,NG
commodity,SI
commodity,GC
commodity,HG
commodity,SM
commodity,C 
commodity,S 
commodity,KW
commodity,BO
commodity,W 
commodity,SB
commodity,CC
commodity,KC
commodity,CT
commodity,LC
commodity,LH
commodity,FC
fx,USDKRW
bond etf,IEF
bond etf,TLT
regime,Diffusion
regime,Growth
regime,Inflation
regime,Volatilities
regime,Funding Liquidity
regime,Market Liquidity
